direct-replace,1000000,0,5,1075788420,1091391560,1109718450,1109718450,916261.438,8429,5060472,31920,6,16871424,1000000,0,1521868753,3143737506,0.717,within-limit
last-seen-refresh,1000000,0,5,1459414184,1470427359,1490213775,1490213775,680074.397,17407,6906184,50176,6,37199872,1000000,0,2119301945,4338603890,0.694,within-limit
feed-first-ascending,1000000,0,5,130074433,132048255,135905104,135905104,7572989.132,227,40048,24960,6,14217216,1000000,1,131003978,362007956,1.008,within-limit
feed-first-random,1000000,0,5,1121376992,1129660811,1134903381,1134903381,885221.467,8513,5071592,29896,6,16896000,1000000,1,1554670893,3209341786,0.727,within-limit
live-direct-lookup,100000,0,5,248423789,257187227,265462080,265462080,3888217.979,0,0,13956,9,2134016,100000,0,251097897,602195794,1.024,within-limit
live-direct-random-lookup,100000,0,5,300359962,306236016,322262804,322262804,3265455.230,0,0,13912,9,2134016,100000,0,307209276,714418552,0.997,within-limit
live-direct-scan,100000,0,5,23055102,23334764,24052521,24052521,42854515.263,30,7360,12056,9,2134016,100000,0,23304938,146609876,1.001,within-limit
live-membership-lookup,100000,421,5,374331581,377738741,380472794,380472794,2647332.379,1,16,18260,9,3035136,100000,421,376411517,852823034,1.004,within-limit
live-membership-random-lookup,100000,421,5,432733337,435602803,439670538,439670538,2295669.342,1,16,18552,9,3035136,100000,421,431097751,962195502,1.010,within-limit
structured-build-random,1000000,421,5,2673433395,2681744211,2769508624,2769508624,372891.641,145124,20072448,55284,6,30765056,1000000,421,4577556365,9255112730,0.586,within-limit
live-structured-scalar-random-lookup,100000,421,5,5164083499,5173586503,5241446831,5241446831,1932895.100,1,16,32888,9,13987840,100000,421,5161288226,10422576452,1.002,within-limit
live-structured-threat-random-lookup,100000,421,5,5813256997,5821730545,5859002990,5859002990,1717702.309,1,16,31820,9,13987840,100000,421,5819056342,11738112684,1.000,within-limit
live-structured-scalar-scan,100000,421,5,154551991,157515268,158100798,158100798,6348590.919,41,7776,33176,9,13987840,100000,421,156965620,413931240,1.004,within-limit
live-feed-scan,100000,421,5,25163820,26891413,32911824,32911824,37186591.869,41,7856,18012,9,3035136,100000,421,25668738,151337476,1.048,within-limit
membership-cardinalities,1000000,64,5,47275866,47834203,51468276,51468276,20905543.257,76,319704,42252,9,28487680,1000000,64,48844469,197688938,0.979,within-limit
live-validation,1000000,0,5,23481441,26309751,28798503,28798503,156329.872,75,26008,31676,6,16871424,1000000,0,25760986,151521972,1.021,within-limit
live-membership-validation,1000000,421,5,29520538,30767706,35970358,35970358,232679.030,72,25832,42680,6,29425664,1000000,421,30656139,161312278,1.004,within-limit
update-ipsets-workflow,1000000,7,5,5012263824,5057617050,5080294885,5080294885,2689013.396,21230999,737051128,118308,6,15618048,1100000,9,5783351134,12066702268,0.875,within-limit
