scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
direct-replace,1000,0,1000,0,8250653,121202.528,22,262550,4660,5100,5100,4,4,45056,45056,1000,0,0
direct-replace,4000,0,4000,0,5000278,799955.522,22,262550,4720,5196,5196,4,4,94208,94208,4000,0,0
direct-replace-v6,4000,0,4000,0,4612564,867196.639,21,418,4380,5160,5160,4,4,290816,290816,4000,0,0
direct-commit,4000,0,4000,0,2624610,1524035.952,4,48,5156,5100,5100,6,6,94208,94208,4000,0,0
nested-overwrite,1000,0,1000,0,2366148,422627.832,22,262550,4712,5172,5172,4,4,81920,81920,1999,0,0
nested-overwrite,4000,0,4000,0,4724094,846723.202,22,262550,4672,5208,5208,4,4,249856,249856,7999,0,0
first-seen-refresh,1000,0,1000,0,3008876,332350.020,22,262566,5360,5388,5388,4,4,77824,77824,1000,0,0
first-seen-refresh,4000,0,4000,0,4354512,918587.433,22,262566,5464,5492,5492,4,4,163840,163840,4000,0,0
last-seen-refresh,1000,0,1000,0,2817966,354865.886,22,262562,5380,5404,5404,4,4,77824,77824,1000,0,0
last-seen-refresh,4000,0,4000,0,3266998,1224365.610,22,262562,5352,5380,5380,4,4,163840,163840,4000,0,0
feed-replace,1000,8,1000,0,2470385,404795.204,23,262580,5100,5448,5448,4,4,106496,106496,1090,8,0
feed-replace,1000,64,1000,0,2818030,354857.826,23,262580,5048,5452,5504,4,4,106496,106496,1090,64,0
membership-import,1000,64,1000,0,2848822,351022.282,20,474,5108,5328,5328,6,6,110592,110592,1000,64,0
live-membership-lookup,4000,64,1000000,0,114221572,8754913.652,0,0,5332,5424,5424,6,6,163840,163840,4000,64,0
immutable-membership-lookup,4000,64,1000000,0,96900710,10319841.826,0,0,5304,5336,5336,5,5,94208,94208,4000,64,0
live-membership-random-lookup,4000,64,1000000,0,130952835,7636337.159,0,0,5320,5424,5424,6,6,163840,163840,4000,64,0
immutable-membership-random-lookup,4000,64,1000000,0,131983377,7576711.725,0,0,5368,5404,5404,5,5,94208,94208,4000,64,0
live-feed-scan,4000,64,1000000,0,7216631,138568814.174,0,0,5108,5392,5392,6,6,163840,163840,4000,64,0
immutable-feed-scan,4000,64,1000000,0,7191383,139055311.058,0,0,5220,5316,5316,5,5,94208,94208,4000,64,0
live-direct-lookup,4000,0,1000000,0,53708965,18618865.584,0,0,5148,5376,5376,6,6,94208,94208,4000,0,0
immutable-direct-lookup,4000,0,1000000,0,53088296,18836543.558,0,0,5324,5400,5400,5,5,69632,69632,4000,0,0
live-direct-random-lookup,4000,0,1000000,0,87559404,11420817.803,0,0,5164,5380,5380,6,6,94208,94208,4000,0,0
immutable-direct-random-lookup,4000,0,1000000,0,83010238,12046706.817,0,0,5288,5364,5376,5,5,69632,69632,4000,0,0
structured-build-random,4000,64,4000,0,9566389,418130.603,151,456538,4476,5152,5660,4,4,806912,806912,4000,64,0
structured-intern,4000,64,4000,0,4425439,903865.131,0,0,4976,5848,5848,6,6,8192,8192,0,0,0
structured-assign-random,4000,64,4000,0,1360050,2941068.343,0,0,6080,6216,6216,6,6,806912,806912,4000,64,0
structured-commit,4000,64,4000,0,3543026,1128978.449,4,48,6200,5320,6060,6,6,839680,839680,4000,64,0
live-structured-scalar-random-lookup,4000,64,10000000,0,1105915847,9042279.326,0,0,5132,6088,6088,6,6,839680,839680,4000,64,0
immutable-structured-scalar-random-lookup,4000,64,10000000,0,1090199690,9172631.484,0,0,5332,5984,6532,5,5,671744,671744,4000,64,0
live-structured-threat-random-lookup,4000,64,10000000,0,1649977207,6060689.783,0,0,5288,6052,6052,6,6,839680,839680,4000,64,0
immutable-structured-threat-random-lookup,4000,64,10000000,0,1655727891,6039639.759,0,0,5312,5908,6752,5,5,671744,671744,4000,64,0
live-structured-scalar-scan,4000,64,1000000,0,39819476,25113339.010,0,0,5108,6032,6032,6,6,839680,839680,4000,64,0
immutable-structured-scalar-scan,4000,64,1000000,0,46170730,21658743.537,0,0,5256,5888,6444,5,5,671744,671744,4000,64,0
