# benchmark=update_ipsets
# fixture=iprange-v4-update-ipsets-v1
# baseline=go-v4-local-20260828
# os=linux
# arch=amd64
# profile=optimized
# go=go1.26.4
# cpu=12th Gen Intel(R) Core(TM) i9-12900K
# warmups=1
# samples=3
scenario,size,aux,samples,min_ns,p50_ns,p90_ns,max_ns,median_units_per_second,alloc_calls,alloc_bytes,max_rss_peak_kib,max_fds_after,file_logical_bytes,range_records,feeds,accepted_median_ns,ci_limit_ns,ratio,status
direct-replace,1000000,0,3,861669880,886531340,916212423,916212423,1127991.708,8424,5060328,30180,6,16871424,1000000,0,1091391560,2282783120,0.812,within-limit
last-seen-refresh,1000000,0,3,1099175329,1218417897,1409770635,1409770635,820736.467,17405,6904584,48368,6,37199872,1000000,0,1470427359,3040854718,0.829,within-limit
feed-first-ascending,1000000,0,3,57329142,61624547,64806738,64806738,16227299.813,227,40352,22808,6,14217216,1000000,1,132048255,364096510,0.467,within-limit
feed-first-random,1000000,0,3,787316389,801548674,817055132,817055132,1247584.872,8509,5071736,30072,6,16896000,1000000,1,1129660811,2359321622,0.710,within-limit
live-direct-lookup,100000,0,3,192772501,193387756,197632634,197632634,5170958.186,0,0,16016,9,2134016,100000,0,257187227,614374454,0.752,within-limit
live-direct-random-lookup,100000,0,3,286915937,291343171,291585909,291585909,3432378.376,0,0,16008,9,2134016,100000,0,306236016,712472032,0.951,within-limit
live-direct-scan,100000,0,3,22320878,22811482,25494060,25494060,43837572.675,30,7360,14072,9,2134016,100000,0,23334764,146669528,0.978,within-limit
live-membership-lookup,100000,421,3,313883271,319723753,322707853,322707853,3127700.055,0,0,17172,9,3035136,100000,421,377738741,855477482,0.846,within-limit
live-membership-random-lookup,100000,421,3,416360779,421787144,436282040,436282040,2370864.106,0,0,19220,9,3035136,100000,421,435602803,971205606,0.968,within-limit
structured-build-random,1000000,421,3,2633032760,2635744713,2717496765,2717496765,379399.414,145118,20067272,56180,6,30765056,1000000,421,2681744211,5463488422,0.983,within-limit
live-structured-scalar-random-lookup,100000,421,3,4798541384,4813214754,4993724322,4993724322,2077613.510,1,16,33224,9,13987840,100000,421,5173586503,10447173006,0.930,within-limit
live-structured-threat-random-lookup,100000,421,3,5466641870,5480528856,5489899830,5489899830,1824641.428,1,16,31904,9,13987840,100000,421,5821730545,11743461090,0.941,within-limit
live-structured-scalar-scan,100000,421,3,155167328,155827900,158465721,158465721,6417336.048,41,7776,31672,9,13987840,100000,421,157515268,415030536,0.989,within-limit
live-feed-scan,100000,421,3,25793842,27038190,28580048,28580048,36984724.199,40,7840,17236,9,3035136,100000,421,26891413,153782826,1.005,within-limit
membership-cardinalities,1000000,64,3,47460880,48414667,54599049,54599049,20654897.823,86,328752,42660,9,28487680,1000000,64,47834203,195668406,1.012,within-limit
live-validation,1000000,0,3,25359088,25529042,28399078,28399078,161110.628,74,25992,29488,6,16871424,1000000,0,26309751,152619502,0.970,within-limit
live-membership-validation,1000000,421,3,29514856,29874248,33019586,33019586,239637.831,73,25816,43468,6,29425664,1000000,421,30767706,161535412,0.971,within-limit
update-ipsets-workflow,1000000,7,3,3497675368,3506688667,3540581297,3540581297,3878302.664,27409,9795400,118544,6,15618048,1100000,9,5057617050,10615234100,0.693,within-limit
