# benchmark=update_ipsets
# fixture=iprange-v4-update-ipsets-v1
# baseline=go-v4-local-20260828
# os=linux
# arch=amd64
# profile=optimized
# go=go1.26.4
# cpu=12th Gen Intel(R) Core(TM) i9-12900K
# warmups=1
# samples=3
scenario,size,aux,samples,min_ns,p50_ns,p90_ns,max_ns,median_units_per_second,alloc_calls,alloc_bytes,max_rss_peak_kib,max_fds_after,file_logical_bytes,range_records,feeds,accepted_median_ns,ci_limit_ns,ratio,status
direct-replace,1000000,0,3,752761961,765308291,780234984,780234984,1306662.964,8423,5060216,31452,6,16871424,1000000,0,1091391560,2282783120,0.701,within-limit
last-seen-refresh,1000000,0,3,1045561555,1048281052,1069484204,1069484204,953942.646,17406,6904696,51496,6,37199872,1000000,0,1470427359,3040854718,0.713,within-limit
feed-first-ascending,1000000,0,3,51345331,52117968,52538720,52538720,19187240.761,227,40352,24684,6,14217216,1000000,1,132048255,364096510,0.395,within-limit
feed-first-random,1000000,0,3,772702133,772854352,795083808,795083808,1293904.857,8508,5071688,30144,6,16896000,1000000,1,1129660811,2359321622,0.684,within-limit
live-direct-lookup,100000,0,3,252160538,262466806,268227086,268227086,3810005.597,0,0,15928,9,2134016,100000,0,257187227,614374454,1.021,within-limit
live-direct-random-lookup,100000,0,3,299665059,307334080,307843622,307843622,3253788.190,0,0,15920,9,2134016,100000,0,306236016,712472032,1.004,within-limit
live-direct-scan,100000,0,3,22458267,24118981,26758550,26758550,41461121.430,30,7360,15972,9,2134016,100000,0,23334764,146669528,1.034,within-limit
live-membership-lookup,100000,421,3,372347883,375893612,380191385,380191385,2660327.199,0,0,17104,9,3035136,100000,421,377738741,855477482,0.995,within-limit
live-membership-random-lookup,100000,421,3,431294693,436596238,444546519,444546519,2290445.755,0,0,17052,9,3035136,100000,421,435602803,971205606,1.002,within-limit
structured-build-random,1000000,421,3,2500702453,2514674771,2518675916,2518675916,397665.739,145121,20072448,57324,6,30765056,1000000,421,2681744211,5463488422,0.938,within-limit
live-structured-scalar-random-lookup,100000,421,3,5138496927,5146683869,5251847023,5251847023,1942998.687,1,16,31464,9,13987840,100000,421,5173586503,10447173006,0.995,within-limit
live-structured-threat-random-lookup,100000,421,3,5755295488,5764825973,5805631874,5805631874,1734657.741,1,16,31420,9,13987840,100000,421,5821730545,11743461090,0.990,within-limit
live-structured-scalar-scan,100000,421,3,155280383,156527142,165248169,165248169,6388668.363,41,7776,31416,9,13987840,100000,421,157515268,415030536,0.994,within-limit
live-feed-scan,100000,421,3,27576368,28812890,29450641,29450641,34706688.569,40,7840,17048,9,3035136,100000,421,26891413,153782826,1.071,within-limit
membership-cardinalities,1000000,64,3,47191779,47943218,48633894,48633894,20858007.487,86,328752,41852,9,28487680,1000000,64,47834203,195668406,1.002,within-limit
live-validation,1000000,0,3,25306074,25591669,26909639,26909639,160716.364,74,25992,31608,6,16871424,1000000,0,26309751,152619502,0.973,within-limit
live-membership-validation,1000000,421,3,30218007,31810094,32765386,32765386,225054.349,73,25880,41484,6,29425664,1000000,421,30767706,161535412,1.034,within-limit
update-ipsets-workflow,1000000,7,3,3455025906,3464860256,3478712628,3478712628,3925122.226,10727439,369002368,118512,6,15618048,1100000,9,5057617050,10615234100,0.685,within-limit
