# benchmark=update_ipsets
# fixture=iprange-v4-update-ipsets-v1
# baseline=go-v4-local-20260828
# os=linux
# arch=amd64
# profile=optimized
# go=go1.26.4
# cpu=12th Gen Intel(R) Core(TM) i9-12900K
# warmups=1
# samples=3
scenario,size,aux,samples,min_ns,p50_ns,p90_ns,max_ns,median_units_per_second,alloc_calls,alloc_bytes,max_rss_peak_kib,max_fds_after,file_logical_bytes,range_records,feeds,accepted_median_ns,ci_limit_ns,ratio,status
direct-replace,1000000,0,3,788100458,807730074,818478838,818478838,1238037.350,8423,5060280,26860,6,16871424,1000000,0,1091391560,2282783120,0.740,within-limit
last-seen-refresh,1000000,0,3,1019386660,1049365458,1053300191,1053300191,952956.849,17406,6904600,47500,6,37199872,1000000,0,1470427359,3040854718,0.714,within-limit
feed-first-ascending,1000000,0,3,54327722,54968565,55065189,55065189,18192215.860,227,40352,19820,6,14217216,1000000,1,132048255,364096510,0.416,within-limit
feed-first-random,1000000,0,3,775713673,779288625,797491296,797491296,1283221.605,8513,5076960,29596,6,16896000,1000000,1,1129660811,2359321622,0.690,within-limit
live-direct-lookup,100000,0,3,193881660,198474602,198713908,198713908,5038428.040,0,0,11728,9,2134016,100000,0,257187227,614374454,0.772,within-limit
live-direct-random-lookup,100000,0,3,292824869,294488997,301391741,301391741,3395712.608,0,0,14020,9,2134016,100000,0,306236016,712472032,0.962,within-limit
live-direct-scan,100000,0,3,22355773,22526769,23272628,23272628,44391630.242,30,7360,11964,9,2134016,100000,0,23334764,146669528,0.965,within-limit
live-membership-lookup,100000,421,3,313952748,314627678,316160850,316160850,3178359.915,0,0,13900,9,3035136,100000,421,377738741,855477482,0.833,within-limit
live-membership-random-lookup,100000,421,3,421940670,423781376,430670948,430670948,2359707.285,0,0,13616,9,3035136,100000,421,435602803,971205606,0.973,within-limit
structured-build-random,1000000,421,3,2579212200,2603550708,2647758430,2647758430,384090.848,145120,20067496,53236,6,30765056,1000000,421,2681744211,5463488422,0.971,within-limit
live-structured-scalar-random-lookup,100000,421,3,4864960667,4879440294,4895491600,4895491600,2049415.383,1,16,28624,9,13987840,100000,421,5173586503,10447173006,0.943,within-limit
live-structured-threat-random-lookup,100000,421,3,5500561857,5512688218,5559628417,5559628417,1813997.020,1,16,30560,9,13987840,100000,421,5821730545,11743461090,0.947,within-limit
live-structured-scalar-scan,100000,421,3,155429152,156355592,158193681,158193681,6395677.873,41,7776,30400,9,13987840,100000,421,157515268,415030536,0.993,within-limit
live-feed-scan,100000,421,3,25229902,25458760,26802594,26802594,39279210.771,40,7840,13908,9,3035136,100000,421,26891413,153782826,0.947,within-limit
membership-cardinalities,1000000,64,3,45971948,46761821,46944800,46944800,21384967.023,86,328752,41888,9,28487680,1000000,64,47834203,195668406,0.978,within-limit
live-validation,1000000,0,3,23044020,25405319,25454731,25454731,161895.231,73,25880,27588,6,16871424,1000000,0,26309751,152619502,0.966,within-limit
live-membership-validation,1000000,421,3,28598661,29485225,30506451,30506451,242799.572,73,25960,43416,6,29425664,1000000,421,30767706,161535412,0.958,within-limit
update-ipsets-workflow,1000000,7,3,3439600551,3445525004,3447705543,3447705543,3947148.833,27406,9793848,117188,6,15618048,1100000,9,5057617050,10615234100,0.681,within-limit
