scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,166273930,6014171.915,2309,714088,13668,41848,53604,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,164313118,6085941.355,2311,714184,12732,40436,52352,9,9,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,1930069746,518115.991,27685,16143848,8204,16188,69304,6,6,56410112,56414208,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1933028629,517322.912,27686,16143864,6156,11844,65064,6,6,56410112,56410112,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,4893931458,2778951.875,10727434,369010160,15540,15508,117912,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,4901645564,2774578.419,10727445,369015720,13044,13392,115852,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,4895146478,2778262.114,10727434,369009856,14456,14020,116396,6,6,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,457584777,2185387.387,1,16,16372,29904,31508,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,475093853,2104847.271,1,16,15564,29128,30236,9,9,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,425899883,2347969.652,1,16,16220,27300,40704,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,446156390,2241366.531,1,16,17428,28012,41136,7,7,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,35264234,116633.754,73,25880,14188,13968,29312,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,23414497,175660.404,72,25720,13828,13084,29364,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,28922305,142208.583,73,25832,13616,12704,28828,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,26704542,154018.743,73,25880,11612,11848,27416,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,30140412,136461.307,72,25720,13580,13320,29212,6,6,16871424,16871424,1000000,0,0
