scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,76956894,12994287.425,2310,712232,14076,41856,54660,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,75953726,13165911.044,2310,712264,14696,44824,56888,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,79863316,12521393.427,2308,712168,14592,44904,57268,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,72975621,13703206.445,2309,712216,16744,43908,55812,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,74723020,13382756.746,2310,712232,14684,42400,55168,9,9,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,1303581496,767117.363,27691,16149392,9344,16136,69792,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1281725355,780198.344,27684,16143960,9268,14736,68656,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1337008853,747938.204,27689,16149168,9336,16608,70040,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1278411579,782220.700,27679,16138656,9272,16444,70904,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1311648417,762399.426,27690,16149280,9268,14364,68096,6,6,56410112,56410112,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,3603115534,3774511.217,10727433,369001936,16476,16268,118176,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3531733614,3850800.056,10727421,368995960,16588,15856,118148,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3616291227,3760759.061,10727432,368996920,17156,16444,118460,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3466878883,3922836.782,10727439,369002640,14336,15492,117608,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3418964904,3977812.110,10727427,368996456,14528,16196,118568,6,6,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,474734715,2106439.593,1,16,18784,32308,34920,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,470030167,2127523.019,1,16,18924,32588,32588,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,437703075,2284653.815,1,16,18920,32708,34432,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,448724752,2228537.640,1,16,18812,32624,34052,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,454193191,2201706.278,1,16,18824,32036,34216,9,9,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,400081397,2499491.372,1,16,18744,29384,45840,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,394859296,2532547.695,1,16,18772,29604,45916,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,403444937,2478652.991,1,16,20972,31500,46052,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,395883858,2525993.368,1,16,19020,30524,46424,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,403582281,2477809.475,1,16,20872,31448,45980,7,7,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,24218483,169828.969,73,25880,14420,13908,29992,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,29660662,138668.517,72,25720,14316,13592,29880,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,26927129,152745.582,73,25832,14288,13716,30024,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,27343872,150417.615,72,25720,14324,14540,29560,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,23197758,177301.617,71,25704,14416,14836,30096,6,6,16871424,16871424,1000000,0,0
