scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,73683310,13571594.436,2309,712216,14744,42752,55500,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,90042681,11105844.350,2308,712168,14628,42724,54424,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,83613543,11959785.031,2309,712216,14744,42852,54948,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,75648532,13219027.172,2308,712136,14664,42612,55096,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,78147311,12796345.609,2309,712184,13856,41568,53960,9,9,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,1240964902,805824.563,27692,16149440,8188,15460,69676,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1227839765,814438.519,27693,16149456,8180,16288,69724,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1236400005,808799.738,27686,16144120,8180,14068,67648,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1228845647,813771.854,27687,16144136,8172,15572,69276,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1234177574,810256.175,27687,16144136,8176,15644,68960,6,6,56410112,56410112,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,3538757389,3843156.935,27412,9795624,16244,16136,117096,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3502150812,3883327.912,27411,9795528,14624,14568,117696,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3572838161,3806497.632,27416,9795832,17224,16208,118756,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3515313428,3868787.315,27414,9795784,16992,16164,118428,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3512543794,3871837.847,27407,9795176,14852,16064,119352,6,6,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,407909417,2451524.673,1,16,18660,31800,34356,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,413226403,2419980.894,1,16,18540,32916,32916,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,395773089,2526700.344,1,16,18432,31832,33816,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,398595862,2508806.777,1,16,18608,32812,33608,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,414125024,2414729.712,1,16,18684,32544,34260,9,9,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,374888793,2667457.707,1,16,18748,29892,44008,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,379999054,2631585.499,1,16,20864,31620,46008,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,379172200,2637324.150,1,16,18792,29564,44100,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,368653530,2712574.053,1,16,18892,30720,44072,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,366818772,2726141.834,0,0,16740,27712,41444,7,7,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,25641168,160406.109,72,25720,13956,12916,30052,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,25449275,161615.606,73,25880,14132,14372,29776,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,23286086,176629.082,71,25688,14032,12940,29304,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,23739394,173256.318,73,25960,14076,16580,29308,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,23203890,177254.762,72,25720,16092,16392,32044,6,6,16871424,16871424,1000000,0,0
