scenario,size,aux,pristine_p50_ns,slice_p50_ns,ratio,slice_alloc_calls,pristine_alloc_calls,slice_alloc_bytes,pristine_alloc_bytes,note
live-direct-random-lookup,1000000,0,335039194,338346782,1.010,1,1,16,16,interleaved same-session 5x1 samples; slice = KeyU32 probe without per-probe cellLen guard
immutable-direct-random-lookup,1000000,0,309411696,307703851,0.994,1,1,16,16,interleaved same-session 5x1 samples; slice = KeyU32 probe without per-probe cellLen guard
nested-overwrite,1000000,0,681696891,683929845,1.003,27688,27687,16158240,16158224,interleaved same-session 5x1 samples; slice = KeyU32 probe without per-probe cellLen guard
membership-import,1000000,421,73326310,71829546,0.980,2311,2310,1475672,1475656,interleaved same-session 5x1 samples; slice = KeyU32 probe without per-probe cellLen guard
