scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,47750665,20942116.722,20,474,4768,32952,46500,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,45522751,21967037.976,20,474,4780,32900,46400,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,47060519,21249234.417,20,474,4688,32932,46416,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,45516678,21969968.898,20,474,4804,32988,46344,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,46813431,21361390.922,20,474,4784,32968,46212,6,6,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,293516251,3406966.383,22,262550,4116,4804,59572,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,297241300,3364270.039,22,262550,3980,4728,59596,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,292817437,3415097.169,22,262550,3988,4796,59484,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,301933958,3311982.550,22,262550,4244,4868,59668,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,295489844,3384211.066,22,262550,4088,4584,59060,4,4,56410112,56410112,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,1138392581,11946669.565,251,2708399,5376,5480,108268,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1109131347,12261848.010,251,2708399,5356,5460,108364,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1095282863,12416883.765,251,2708399,5336,5440,108036,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1099586081,12368290.428,251,2708399,5400,5508,109012,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1074346309,12658860.449,251,2708399,5396,5500,108592,4,4,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,227763314,4390522.698,0,0,8712,25260,25260,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,222395592,4496491.999,0,0,8824,25372,25372,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,236821404,4222591.299,0,0,8728,25276,25276,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,231305773,4323281.633,0,0,8788,25272,25272,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,231736587,4315244.360,0,0,8852,25400,25400,6,6,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,205097830,4875721.991,0,0,8892,22808,35172,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,214692857,4657816.818,0,0,8892,22744,34984,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,199480854,5013012.427,0,0,8832,22684,34996,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,200095074,4997624.279,0,0,8912,22764,34964,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,199509429,5012294.431,0,0,8980,22832,34784,5,5,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,14467017,284301.871,28,1540,4744,4924,20596,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,11387940,361171.555,28,1540,4816,4952,20912,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,12336060,333412.775,28,1540,4704,4884,20800,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,12396950,331775.154,28,1540,4808,4940,20736,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10556715,389609.836,28,1540,4912,5048,20960,4,4,16871424,16871424,1000000,0,0
