scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,50466289,19815207.732,20,474,4888,33052,46456,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,44859947,22291600.122,20,474,4704,32888,45708,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,44685215,22378766.668,20,474,4892,33008,46348,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,45574200,21942239.249,20,474,4916,32972,46192,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,46585484,21465914.146,20,474,4776,33012,45776,6,6,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,290268213,3445089.594,22,262550,3948,4752,59824,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,292784199,3415484.864,22,262550,3988,4792,59556,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,323836237,3087980.546,22,262550,4188,4916,58576,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,328889510,3040534.798,22,262550,3996,4800,58988,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,302998428,3300347.156,22,262550,4164,4892,59648,4,4,56410112,56410112,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,1089849197,12478790.678,251,2708399,5224,5340,108152,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1107499788,12279912.057,251,2708399,5336,5440,108912,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1122375382,12117158.143,251,2708399,5392,5500,108828,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1099300687,12371501.411,251,2708399,5328,5432,108812,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1094549250,12425206.084,251,2708399,5340,5448,108492,4,4,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,243623891,4104687.746,0,0,8820,25368,25368,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,246940216,4049563.154,0,0,8724,25272,25272,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,245825970,4067918.455,0,0,8792,25340,25340,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,234410421,4266021.944,0,0,8712,25260,25260,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,259117081,3859259.282,0,0,8880,25428,25428,6,6,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,222942149,4485468.560,0,0,8884,22736,35120,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,224891686,4446585.011,0,0,8880,22796,35056,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,237800698,4205202.123,0,0,8920,22836,35032,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,214059065,4671607.811,0,0,8888,22804,35084,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,229233663,4362361.038,0,0,8896,22748,35120,5,5,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,12395854,331804.489,28,1540,4736,4872,20236,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10317324,398649.882,28,1540,4856,4992,21140,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,11302949,363887.336,28,1540,4848,5048,21076,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10295769,399484.487,28,1540,4796,4932,20948,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10316415,398685.008,28,1540,4856,4992,21144,4,4,16871424,16871424,1000000,0,0
