scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,74376673,13445075.716,2308,712136,14764,42720,55236,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,73734188,13562229.776,2308,712168,11884,40328,52444,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,75224140,13293604.952,2308,712152,14776,42308,55176,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,81500115,12269921.337,2308,712136,14116,42168,53776,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,74817139,13365921.410,2310,712264,15068,43104,55472,9,9,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,1208290742,827615.379,27690,16149216,8176,14404,67932,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1208204686,827674.327,27690,16149216,8172,14184,67820,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1214156376,823617.138,27688,16144344,8168,16728,69824,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1244804580,803338.947,27690,16149216,8172,14264,68028,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1243952080,803889.487,27688,16144152,8172,15464,68408,6,6,56410112,56410112,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,3507943158,3876915.727,27410,9794088,14324,14048,115940,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3453324973,3938233.472,27407,9793864,14256,13044,115808,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3416162104,3981075.718,27405,9793704,13532,13232,115468,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3491066458,3895657.721,27405,9793800,12460,11988,115080,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3478358149,3909890.649,27406,9793816,13512,12936,115472,6,6,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,410723882,2434725.722,1,16,16420,30100,31920,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,410814466,2434188.868,1,16,15272,29740,29740,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,401881041,2488298.521,1,16,14284,28264,28692,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,407386312,2454672.557,1,16,15032,28972,28972,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,416118170,2403163.505,0,0,15980,29808,29976,9,9,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,399005669,2506230.056,1,16,17508,28472,43444,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,392060660,2550625.712,1,16,15984,26732,40792,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,384771852,2598942.711,1,16,16600,27384,41760,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,376397084,2656768.722,1,16,17072,27840,41944,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,382966694,2611193.129,1,16,19120,29324,45516,7,7,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,27591859,149065.708,72,25720,12108,11516,27160,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,25647516,160366.407,72,25720,12092,11872,27408,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,35154694,116997.178,72,25720,10264,10248,24924,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,23420370,175616.354,72,25720,9960,9768,24936,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,23402427,175751.002,73,25832,12860,12160,27624,6,6,16871424,16871424,1000000,0,0
