# benchmark=update_ipsets
# fixture=iprange-v4-update-ipsets-v1
# baseline=go-v4-local-20260828
# os=linux
# arch=amd64
# profile=optimized
# go=go1.26.4
# cpu=12th Gen Intel(R) Core(TM) i9-12900K
# warmups=1
# samples=3
scenario,size,aux,samples,min_ns,p50_ns,p90_ns,max_ns,median_units_per_second,alloc_calls,alloc_bytes,max_rss_peak_kib,max_fds_after,file_logical_bytes,range_records,feeds,accepted_median_ns,ci_limit_ns,ratio,status
direct-replace,1000000,0,3,767432079,791767734,800257477,800257477,1262996.656,8424,5060328,32116,6,16871424,1000000,0,1091391560,2282783120,0.725,within-limit
last-seen-refresh,1000000,0,3,1032398324,1050006128,1057839094,1057839094,952375.394,17405,6904488,50620,6,37199872,1000000,0,1470427359,3040854718,0.714,within-limit
feed-first-ascending,1000000,0,3,54237691,55085354,58862821,58862821,18153645.704,227,40352,24872,6,14217216,1000000,1,132048255,364096510,0.417,within-limit
feed-first-random,1000000,0,3,780110979,883087424,919971321,919971321,1132390.716,8508,5071688,30016,6,16896000,1000000,1,1129660811,2359321622,0.782,within-limit
live-direct-lookup,100000,0,3,259100092,260801515,261531673,261531673,3834333.554,0,0,15916,9,2134016,100000,0,257187227,614374454,1.014,within-limit
live-direct-random-lookup,100000,0,3,302091929,302252551,304961521,304961521,3308491.514,0,0,16020,9,2134016,100000,0,306236016,712472032,0.987,within-limit
live-direct-scan,100000,0,3,22503845,23675410,23775099,23775099,42237916.894,30,7360,15980,9,2134016,100000,0,23334764,146669528,1.015,within-limit
live-membership-lookup,100000,421,3,371609128,374577916,387583666,387583666,2669671.535,0,0,17164,9,3035136,100000,421,377738741,855477482,0.992,within-limit
live-membership-random-lookup,100000,421,3,428030341,428162164,439121056,439121056,2335563.681,0,0,17192,9,3035136,100000,421,435602803,971205606,0.983,within-limit
structured-build-random,1000000,421,3,2606806129,2610768258,2625404783,2625404783,383029.017,145119,20067352,55992,6,30765056,1000000,421,2681744211,5463488422,0.974,within-limit
live-structured-scalar-random-lookup,100000,421,3,5098326847,5151629396,5168681373,5168681373,1941133.422,1,16,33196,9,13987840,100000,421,5173586503,10447173006,0.996,within-limit
live-structured-threat-random-lookup,100000,421,3,5672027576,5751540269,5813476809,5813476809,1738664.694,1,16,31520,9,13987840,100000,421,5821730545,11743461090,0.988,within-limit
live-structured-scalar-scan,100000,421,3,156045893,157445564,157458983,157458983,6351401.555,41,7776,33556,9,13987840,100000,421,157515268,415030536,1.000,within-limit
live-feed-scan,100000,421,3,25695161,26236101,28218002,28218002,38115419.665,40,7840,17324,9,3035136,100000,421,26891413,153782826,0.976,within-limit
membership-cardinalities,1000000,64,3,45916142,47304490,48075636,48075636,21139642.347,86,328752,42428,9,28487680,1000000,64,47834203,195668406,0.989,within-limit
live-validation,1000000,0,3,24266536,24421299,24602806,24602806,168418.560,73,25832,32392,6,16871424,1000000,0,26309751,152619502,0.928,within-limit
live-membership-validation,1000000,421,3,29728899,32992910,35389751,35389751,216986.013,73,25880,43460,6,29425664,1000000,421,30767706,161535412,1.072,within-limit
update-ipsets-workflow,1000000,7,3,3430775158,3447607161,3535011236,3535011236,3944764.982,10727434,369002080,119408,6,15618048,1100000,9,5057617050,10615234100,0.682,within-limit
