scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,73917667,13528565.505,2311,712280,14424,42288,54608,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,75126878,13310815.338,2311,712344,16212,43656,56492,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,83667135,11952124.332,2309,712200,16544,44124,56160,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,76663910,13043947.276,2312,712360,14528,41852,54168,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,72979163,13702541.368,2308,712168,16040,43756,56720,9,9,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,1265080118,790463.770,27697,16154712,8368,16000,69468,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1248892585,800709.374,27691,16149296,6320,13504,67004,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1273767316,785072.742,27688,16149056,8372,14304,67992,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1257787568,795046.815,27691,16149392,8376,13416,66932,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1258154720,794814.806,27689,16149072,8372,15380,69500,6,6,56410112,56410112,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,3498399485,3887491.997,10727434,369002064,15364,15856,118612,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3560167625,3820044.850,10727428,368996536,15124,15976,118960,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3452767895,3938868.877,10727427,368996616,16152,15712,117948,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3449292522,3942837.528,10727429,369001584,16844,16164,118212,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3436744066,3957233.864,10727425,369001344,14620,13476,117056,6,6,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,462273158,2163223.156,1,16,18300,32128,34468,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,476308871,2099478.009,1,16,18428,31640,34152,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,447881847,2232731.705,1,16,20500,33892,33892,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,460307862,2172459.092,1,16,18336,31716,34108,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,456172254,2192154.370,1,16,18468,33212,34080,9,9,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,416101627,2403259.048,1,16,18620,29024,43944,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,418455063,2389742.862,1,16,18760,30444,44320,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,439995897,2272748.466,1,16,18628,30520,45596,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,409880606,2439734.853,1,16,18660,29548,43176,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,411065287,2432703.591,1,16,16524,27316,44268,7,7,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,24311981,169175.848,72,25720,13836,13528,29140,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,26981068,152440.222,74,25992,13920,12884,28696,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,23480073,175169.813,73,25880,13848,13244,29796,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,26413215,155717.507,73,25880,15920,15128,31272,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,26750588,153753.630,73,25832,16120,15348,31664,6,6,16871424,16871424,1000000,0,0
