direct-replace,1000000,0,5,1482721392,1521868753,1553664481,1553664481,657086.886,12542,16119880,31232,6,16871424,1000000,0,1481060116,3062120232,1.028,within-limit
last-seen-refresh,1000000,0,5,2090815354,2119301945,2128280462,2128280462,471853.481,23014,22000272,50288,6,37199872,1000000,0,2353938731,4807877462,0.900,within-limit
feed-first-ascending,1000000,0,5,129711338,131003978,133974188,133974188,7633355.989,227,40048,24560,6,14217216,1000000,1,145331464,390662928,0.901,within-limit
feed-first-random,1000000,0,5,1552175265,1554670893,1566083474,1566083474,643222.951,12638,16141608,29704,6,16896000,1000000,1,1524670178,3149340356,1.020,within-limit
live-direct-lookup,100000,0,5,249980415,251097897,257019594,257019594,3982510.455,0,0,15444,9,2134016,100000,0,256660176,613320352,0.978,within-limit
live-direct-random-lookup,100000,0,5,300083346,307209276,317505923,317505923,3255110.044,0,0,15584,9,2134016,100000,0,305300590,710601180,1.006,within-limit
live-direct-scan,100000,0,5,22510880,23304938,25247840,25247840,42909361.098,30,7360,17584,9,2134016,100000,0,24006346,148012692,0.971,within-limit
live-membership-lookup,100000,421,5,375254759,376411517,378352237,378352237,2656666.852,1,16,17312,9,3035136,100000,421,382456638,864913276,0.984,within-limit
live-membership-random-lookup,100000,421,5,427951909,431097751,438864650,438864650,2319659.515,0,0,17832,9,3035136,100000,421,437350117,974700234,0.986,within-limit
structured-build-random,1000000,421,5,4553211701,4577556365,4612125687,4612125687,218457.168,150860,34979272,55544,6,30765056,1000000,421,4683922340,9467844680,0.977,within-limit
live-structured-scalar-random-lookup,100000,421,5,5114703464,5161288226,5202744762,5202744762,1937500.787,1,16,33136,9,13987840,100000,421,5233762266,10567524532,0.986,within-limit
live-structured-threat-random-lookup,100000,421,5,5789691230,5819056342,5844499625,5844499625,1718491.696,1,16,32984,9,13987840,100000,421,5927448304,11954896608,0.982,within-limit
live-structured-scalar-scan,100000,421,5,156804915,156965620,161573061,161573061,6370821.840,41,7776,33176,9,13987840,100000,421,157438773,414877546,0.997,within-limit
live-feed-scan,100000,421,5,25088601,25668738,26575537,26575537,38957895.008,40,7840,17876,9,3035136,100000,421,25635096,151270192,1.001,within-limit
membership-cardinalities,1000000,64,5,47362285,48844469,51772749,51772749,20473147.123,76,319704,42088,9,28487680,1000000,64,48512383,197024766,1.007,within-limit
live-validation,1000000,0,5,24426222,25760986,26673599,26673599,159660.038,73,25880,31272,6,16871424,1000000,0,25479301,150958602,1.011,within-limit
live-membership-validation,1000000,421,5,28659270,30656139,33018683,33018683,233525.820,71,25944,42580,6,29425664,1000000,421,30592419,161184838,1.002,within-limit
update-ipsets-workflow,1000000,7,5,5717988031,5783351134,5799441346,5799441346,2351577.776,21236597,752142336,118032,6,15618048,1100000,9,5802977017,12105954034,0.997,within-limit
