> nice > /tmp/bench-run6/iprange-v4-bench-f > ci 
# benchmark=update_ipsets
# fixture=iprange-v4-update-ipsets-v1
# baseline=go-v4-local-20260828
# os=linux
# arch=amd64
# profile=optimized
# go=go1.26.4
# cpu=12th Gen Intel(R) Core(TM) i9-12900K
# warmups=1
# samples=3
scenario,size,aux,samples,min_ns,p50_ns,p90_ns,max_ns,median_units_per_second,alloc_calls,alloc_bytes,max_rss_peak_kib,max_fds_after,file_logical_bytes,range_records,feeds,accepted_median_ns,ci_limit_ns,ratio,status
direct-replace,1000000,0,3,799027237,812821632,863086692,863086692,1230282.218,8426,5060424,31376,6,16871424,1000000,0,1091391560,2282783120,0.745,within-limit
last-seen-refresh,1000000,0,3,970195600,990044314,994945668,994945668,1010055.798,17408,6904600,50972,6,37199872,1000000,0,1470427359,3040854718,0.673,within-limit
feed-first-ascending,1000000,0,3,51259220,52330535,55775456,55775456,19109302.055,229,40448,24892,6,14217216,1000000,1,132048255,364096510,0.396,within-limit
feed-first-random,1000000,0,3,777784633,782223484,809140572,809140572,1278407.029,8511,5071448,31636,6,16896000,1000000,1,1129660811,2359321622,0.692,within-limit
live-direct-lookup,100000,0,3,191583139,192887228,193840089,193840089,5184376.438,0,0,16060,9,2134016,100000,0,257187227,614374454,0.750,within-limit
live-direct-random-lookup,100000,0,3,286489478,295492735,303553889,303553889,3384177.956,0,0,16056,9,2134016,100000,0,306236016,712472032,0.965,within-limit
live-direct-scan,100000,0,3,22447192,22582477,22698495,22698495,44282121.930,30,7360,14108,9,2134016,100000,0,23334764,146669528,0.968,within-limit
live-membership-lookup,100000,421,3,317847037,319914869,331023485,331023485,3125831.579,0,0,17192,9,3035136,100000,421,377738741,855477482,0.847,within-limit
live-membership-random-lookup,100000,421,3,412393179,426157147,440617419,440617419,2346552.221,0,0,19148,9,3035136,100000,421,435602803,971205606,0.978,within-limit
structured-build-random,1000000,421,3,2541134058,2555372365,2622326584,2622326584,391332.400,145119,20067320,55512,6,30765056,1000000,421,2681744211,5463488422,0.953,within-limit
live-structured-scalar-random-lookup,100000,421,3,4863874593,4871940977,4942331786,4942331786,2052570.022,1,16,31756,9,13987840,100000,421,5173586503,10447173006,0.942,within-limit
live-structured-threat-random-lookup,100000,421,3,5474109250,5474284332,5475414756,5475414756,1826722.799,1,16,31520,9,13987840,100000,421,5821730545,11743461090,0.940,within-limit
live-structured-scalar-scan,100000,421,3,154737865,156070953,158507590,158507590,6407342.179,41,7776,31288,9,13987840,100000,421,157515268,415030536,0.991,within-limit
live-feed-scan,100000,421,3,26710727,27569543,28465057,28465057,36271910.637,40,7840,17276,9,3035136,100000,421,26891413,153782826,1.025,within-limit
membership-cardinalities,1000000,64,3,46714312,46974162,52568698,52568698,21288298.874,85,327344,41156,9,28487680,1000000,64,47834203,195668406,0.982,within-limit
live-validation,1000000,0,3,23527921,23615732,29894197,29894197,174163.562,73,25832,32016,6,16871424,1000000,0,26309751,152619502,0.898,within-limit
live-membership-validation,1000000,421,3,30762738,31155280,33158109,33158109,229784.486,73,25960,43736,6,29425664,1000000,421,30767706,161535412,1.013,within-limit
update-ipsets-workflow,1000000,7,3,2423997941,2468123360,2474720728,2474720728,5510259.422,27009,9651936,119340,6,15618048,1100000,9,5057617050,10615234100,0.488,within-limit
