scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,46895941,21323807.107,20,474,4688,32932,45840,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,47457308,21071570.263,20,474,4888,32944,46548,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,47785210,20926977.197,20,474,4780,32964,46160,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,45940211,21767422.879,20,474,4776,32896,46240,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,46248079,21622519.716,20,474,4776,32960,46568,6,6,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,304961866,3279098.509,22,262550,3988,4736,59408,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,294989766,3389948.111,22,262550,3992,4800,59668,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,292248504,3421745.488,22,262550,4216,4712,59392,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,301428088,3317540.866,22,262550,3952,4760,59508,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,292699808,3416469.614,22,262550,4184,4928,59992,4,4,56410112,56410112,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,1086919172,12512429.949,251,2708399,5336,5440,108956,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1079240147,12601458.570,251,2708399,5400,5508,108316,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1105622414,12300763.649,251,2708399,5368,5472,108276,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1088467786,12494627.930,251,2708399,5380,5484,108628,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1087847832,12501748.498,251,2708399,5396,5504,108844,4,4,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,227118492,4402988.023,0,0,8760,25308,25308,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,212424427,4707556.537,0,0,8744,25292,25292,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,219000657,4566196.347,0,0,8744,25292,25292,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,222765114,4489033.233,0,0,8756,25304,25304,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,215188031,4647098.611,0,0,8760,25308,25308,6,6,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,201614079,4959971.074,0,0,8892,22744,35120,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,195376901,5118312.323,0,0,8960,22876,35060,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,196592704,5086658.760,0,0,8956,22872,35176,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,201317258,4967284.027,0,0,8856,22708,35168,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,201192644,4970360.646,0,0,9028,22944,34928,5,5,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,10265367,400667.604,28,1540,4968,5104,21180,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10316770,398671.290,28,1540,4748,4884,20836,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,14415418,285319.510,28,1540,4984,5120,20948,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10265517,400661.749,28,1540,4864,4996,21200,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,13498582,304698.671,28,1540,4816,5008,20792,4,4,16871424,16871424,1000000,0,0
