# benchmark=update_ipsets
# fixture=iprange-v4-update-ipsets-v1
# baseline=go-v4-local-20260828
# os=linux
# arch=amd64
# profile=optimized
# go=go1.26.4
# cpu=12th Gen Intel(R) Core(TM) i9-12900K
# warmups=1
# samples=3
scenario,size,aux,samples,min_ns,p50_ns,p90_ns,max_ns,median_units_per_second,alloc_calls,alloc_bytes,max_rss_peak_kib,max_fds_after,file_logical_bytes,range_records,feeds,accepted_median_ns,ci_limit_ns,ratio,status
direct-replace,1000000,0,3,1072384721,1083827813,1098186225,1098186225,922655.784,8430,5060520,29336,6,16871424,1000000,0,1091391560,2282783120,0.993,within-limit
last-seen-refresh,1000000,0,3,1448991964,1468983162,1469529039,1469529039,680742.997,17407,6906072,48508,6,37199872,1000000,0,1470427359,3040854718,0.999,within-limit
feed-first-ascending,1000000,0,3,132361372,132510734,138994058,138994058,7546558.455,227,40048,24444,6,14217216,1000000,1,132048255,364096510,1.004,within-limit
feed-first-random,1000000,0,3,1116025618,1125616425,1127015361,1127015361,888402.104,8515,5071688,31928,6,16896000,1000000,1,1129660811,2359321622,0.996,within-limit
live-direct-lookup,100000,0,3,252850609,258584803,259263453,259263453,3867203.286,0,0,13712,9,2134016,100000,0,257187227,614374454,1.005,within-limit
live-direct-random-lookup,100000,0,3,306908249,312995094,316280891,316280891,3194938.257,0,0,15632,9,2134016,100000,0,306236016,712472032,1.022,within-limit
live-direct-scan,100000,0,3,22360875,25806784,28572685,28572685,38749500.906,30,7360,15704,9,2134016,100000,0,23334764,146669528,1.106,within-limit
live-membership-lookup,100000,421,3,374961937,375906660,381742145,381742145,2660234.857,1,16,18004,9,3035136,100000,421,377738741,855477482,0.995,within-limit
live-membership-random-lookup,100000,421,3,435302296,443216746,446816326,446816326,2256232.439,1,16,16080,9,3035136,100000,421,435602803,971205606,1.017,within-limit
structured-build-random,1000000,421,3,2704060028,2705057573,2727645538,2727645538,369677.899,145132,20072896,55644,6,30765056,1000000,421,2681744211,5463488422,1.009,within-limit
live-structured-scalar-random-lookup,100000,421,3,5155253319,5181694558,5189309476,5189309476,1929870.603,1,16,31440,9,13987840,100000,421,5173586503,10447173006,1.002,within-limit
live-structured-threat-random-lookup,100000,421,3,5777669252,5801974837,5808804157,5808804157,1723551.081,1,16,31220,9,13987840,100000,421,5821730545,11743461090,0.997,within-limit
live-structured-scalar-scan,100000,421,3,156740785,159198264,159770812,159770812,6281475.532,41,7776,33912,9,13987840,100000,421,157515268,415030536,1.011,within-limit
live-feed-scan,100000,421,3,25190736,25282363,26128958,26128958,39553264.859,41,7856,18252,9,3035136,100000,421,26891413,153782826,0.940,within-limit
membership-cardinalities,1000000,64,3,47642862,47740371,52787685,52787685,20946632.359,76,319704,41760,9,28487680,1000000,64,47834203,195668406,0.998,within-limit
live-validation,1000000,0,3,23779115,26547457,31989009,31989009,154930.094,74,25992,31992,6,16871424,1000000,0,26309751,152619502,1.009,within-limit
live-membership-validation,1000000,421,3,29807322,29907306,30569820,30569820,239372.948,71,25832,41268,6,29425664,1000000,421,30767706,161535412,0.972,within-limit
update-ipsets-workflow,1000000,7,3,4819907927,4877657430,4879477142,4879477142,2788223.690,10730977,369039816,117692,6,15618048,1100000,9,5057617050,10615234100,0.964,within-limit
