scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,83428312,11986338.642,2310,712264,13880,41792,54236,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,70695541,14145163.696,2312,712328,14676,41932,54788,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,72968383,13704565.716,2311,712312,14504,41524,54156,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,76019084,13154591.550,2310,712248,14488,42480,54912,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,79061877,12648321.011,2309,712232,14372,42168,54592,9,9,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,1229972241,813026.479,27695,16149552,8280,16300,70196,6,6,56410112,56414208,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1214659384,823276.067,27693,16149424,8280,16416,70480,6,6,56410112,56414208,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1248509255,800955.216,27694,16149440,8280,15984,69512,6,6,56410112,56414208,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1232730007,811207.640,27692,16149312,8280,15824,69068,6,6,56410112,56414208,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1234873457,809799.574,27692,16149216,8276,15680,69920,6,6,56410112,56414208,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,2436189772,5582487.931,27012,9652112,14216,14072,116196,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,2472919063,5499573.441,27007,9651568,15152,14448,117104,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,2488514896,5465106.929,27008,9651824,14244,14228,117076,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,2450015809,5550984.590,27007,9651728,14628,14564,116980,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,2447587026,5556492.928,27010,9651872,15972,14732,116100,6,6,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,429429977,2328668.359,1,16,17820,31476,33380,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,420907866,2375816.849,1,16,16664,30576,30576,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,417213449,2396854.661,1,16,18580,31928,32408,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,413079643,2420840.671,1,16,18544,31252,33660,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,419115237,2385978.632,1,16,16548,30200,32052,9,9,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,384077630,2603640.311,1,16,18640,30680,44068,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,396397592,2522719.664,1,16,18772,29612,43676,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,391163625,2556474.928,1,16,16576,27364,41048,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,416415283,2401448.844,1,16,20728,31304,45388,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,439840355,2273552.185,1,16,18868,29376,43688,7,7,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,25752361,159713.511,72,25720,14192,13608,29748,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,23429234,175549.913,72,25720,16116,16236,32000,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,25202089,163200.757,72,25720,16124,15872,31884,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,24453987,168193.432,72,25720,14064,13336,30092,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,24159920,170240.630,73,25880,13992,13124,29576,6,6,16871424,16871424,1000000,0,0
