# benchmark=update_ipsets
# fixture=iprange-v4-update-ipsets-v1
# baseline=go-v4-local-20260828
# os=linux
# arch=amd64
# profile=optimized
# go=go1.26.4
# cpu=12th Gen Intel(R) Core(TM) i9-12900K
# warmups=1
# samples=3
scenario,size,aux,samples,min_ns,p50_ns,p90_ns,max_ns,median_units_per_second,alloc_calls,alloc_bytes,max_rss_peak_kib,max_fds_after,file_logical_bytes,range_records,feeds,accepted_median_ns,ci_limit_ns,ratio,status
direct-replace,1000000,0,3,1078668645,1098601750,1099081060,1099081060,910247.958,8429,5060408,25780,6,16871424,1000000,0,1091391560,2282783120,1.007,within-limit
last-seen-refresh,1000000,0,3,1455983082,1457415337,1478864150,1478864150,686146.203,17405,6905976,47584,6,37199872,1000000,0,1470427359,3040854718,0.991,within-limit
feed-first-ascending,1000000,0,3,130331799,137590173,143142635,143142635,7267960.918,227,40048,21116,6,14217216,1000000,1,132048255,364096510,1.042,within-limit
feed-first-random,1000000,0,3,1115262038,1117527970,1132244547,1132244547,894832.189,8514,5071576,29664,6,16896000,1000000,1,1129660811,2359321622,0.989,within-limit
live-direct-lookup,100000,0,3,254949498,255418936,257751613,257751613,3915136.503,0,0,13620,9,2134016,100000,0,257187227,614374454,0.993,within-limit
live-direct-random-lookup,100000,0,3,303757785,307893708,317259291,317259291,3247874.101,0,0,11440,9,2134016,100000,0,306236016,712472032,1.005,within-limit
live-direct-scan,100000,0,3,22685229,23079687,23399658,23399658,43328143.922,30,7360,13744,9,2134016,100000,0,23334764,146669528,0.989,within-limit
live-membership-lookup,100000,421,3,373834333,381503097,383095967,383095967,2621210.700,0,0,14588,9,3035136,100000,421,377738741,855477482,1.010,within-limit
live-membership-random-lookup,100000,421,3,427151333,438394966,443143677,443143677,2281048.090,0,0,17056,9,3035136,100000,421,435602803,971205606,1.006,within-limit
structured-build-random,1000000,421,3,2751139813,2788553991,2821499505,2821499505,358608.800,145123,20067496,53448,6,30765056,1000000,421,2681744211,5463488422,1.040,within-limit
live-structured-scalar-random-lookup,100000,421,3,5171024216,5172672690,5296168013,5296168013,1933236.568,1,16,31232,9,13987840,100000,421,5173586503,10447173006,1.000,within-limit
live-structured-threat-random-lookup,100000,421,3,5807371115,5808228153,5835251190,5835251190,1721695.453,1,16,29544,9,13987840,100000,421,5821730545,11743461090,0.998,within-limit
live-structured-scalar-scan,100000,421,3,154819812,155970624,156095293,156095293,6411463.738,41,7776,30976,9,13987840,100000,421,157515268,415030536,0.990,within-limit
live-feed-scan,100000,421,3,26246770,29590399,30087400,30087400,33794745.383,40,7840,13888,9,3035136,100000,421,26891413,153782826,1.100,within-limit
membership-cardinalities,1000000,64,3,46565754,48263297,52665990,52665990,20719678.558,86,328752,43640,9,28487680,1000000,64,47834203,195668406,1.009,within-limit
live-validation,1000000,0,3,23544120,24808876,28594569,28594569,165787.438,73,25880,29124,6,16871424,1000000,0,26309751,152619502,0.943,within-limit
live-membership-validation,1000000,421,3,31770332,34000272,35049869,35049869,210557.139,73,25864,41976,6,29425664,1000000,421,30767706,161535412,1.105,within-limit
update-ipsets-workflow,1000000,7,3,4855895110,4873143459,5001991668,5001991668,2790806.410,10727441,369015752,117880,6,15618048,1100000,9,5057617050,10615234100,0.964,within-limit
