scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,48574991,20586725.379,20,474,4860,32980,46008,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,44967558,22238254.521,20,474,4968,33084,46812,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,45734449,21865355.807,20,474,4932,33048,46880,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,45147285,22149726.168,20,474,4908,33092,46636,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,45841472,21814308.232,20,474,4908,33088,46516,6,6,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,293454861,3407679.112,22,262550,4100,4592,59332,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,300763810,3324868.108,22,262550,4168,4852,59024,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,295902185,3379495.153,22,262550,4184,4868,59760,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,300247681,3330583.592,22,262550,4152,4832,59260,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,302434795,3306497.852,22,262550,3952,4756,59312,4,4,56410112,56410112,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,1118466859,12159501.992,251,2708399,5392,5496,108508,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1067367323,12741630.465,251,2708399,5380,5488,108928,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1070738618,12701512.555,251,2708399,5360,5464,108668,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1084064209,12545382.356,251,2708399,5400,5504,108700,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1112885619,12220483.191,251,2708399,5388,5496,108376,4,4,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,223870707,4466863.992,0,0,8824,25308,25308,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,219607049,4553587.895,0,0,8724,25272,25272,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,220207922,4541162.693,0,0,8824,25372,25372,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,225864685,4427429.636,0,0,8796,25344,25344,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,226024589,4424297.394,0,0,8828,25376,25376,6,6,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,211490325,4728348.685,0,0,8888,22804,34992,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,204860787,4881363.655,0,0,9020,22872,35444,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,210209966,4757148.384,0,0,8880,22732,35240,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,213875747,4675611.957,0,0,8888,22740,35244,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,207531273,4818550.889,0,0,8832,22684,34936,5,5,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,10218412,402508.726,28,1540,4856,5048,20956,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,13682145,300610.759,28,1540,4812,4944,21032,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,11475223,358424.407,28,1540,4868,4988,21060,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,12921165,318314.951,28,1540,4896,5096,20804,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10506384,391476.268,28,1540,4756,4936,20788,4,4,16871424,16871424,1000000,0,0
