scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,45202550,22122645.736,20,466,4616,32812,46008,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,45527468,21964762.020,20,466,4840,32920,45672,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,44941899,22250951.167,20,466,4896,32908,46008,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,45321925,22064376.127,20,466,4760,32872,46040,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,44883915,22279696.412,20,466,4836,32916,46008,6,6,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,298079722,3354807.208,22,262542,3904,4668,59052,4,4,56410112,56414208,1999999,0,0
nested-overwrite,1000000,0,1000000,0,289246600,3457257.579,22,262542,3884,4652,59140,4,4,56410112,56414208,1999999,0,0
nested-overwrite,1000000,0,1000000,0,293500431,3407150.022,22,262542,4144,4752,59448,4,4,56410112,56414208,1999999,0,0
nested-overwrite,1000000,0,1000000,0,299641948,3337316.443,22,262542,3944,4708,59284,4,4,56410112,56414208,1999999,0,0
nested-overwrite,1000000,0,1000000,0,289342328,3456113.756,22,262542,4016,4544,59464,4,4,56410112,56414208,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,1102943104,12330645.117,251,2708323,5348,5476,108344,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1126162536,12076409.546,251,2708323,5412,5516,108524,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1119085983,12152774.860,251,2708323,5300,5408,108640,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1074621804,12655615.166,251,2708323,5416,5520,108688,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1120104505,12141724.222,251,2708323,5376,5484,108764,4,4,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,251100708,3982465.872,0,0,8808,25292,25292,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,234982412,4255637.652,0,0,8832,25380,25380,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,219037145,4565435.694,0,0,8888,25436,25436,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,244774204,4085397.822,0,0,8752,25300,25300,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,222647478,4491405.018,0,0,8760,25308,25308,6,6,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,232102465,4308441.963,0,0,8888,22804,35120,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,224398724,4456353.326,0,0,8944,22796,34452,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,205625323,4863214.245,0,0,8844,22760,34660,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,215730739,4635408.031,0,0,8888,22740,35052,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,221153904,4521737.948,0,0,8856,22772,34972,5,5,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,10257742,400965.437,28,1540,4848,4984,21108,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,11626619,353757.184,28,1540,4808,5000,21100,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10638363,386619.633,28,1540,4792,4928,21284,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10178623,404082.163,28,1540,4788,4924,21144,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,13340020,308320.377,28,1540,4840,5040,21020,4,4,16871424,16871424,1000000,0,0
