# benchmark=update_ipsets
# fixture=iprange-v4-update-ipsets-v1
# baseline=go-v4-local-20260828
# os=linux
# arch=amd64
# profile=optimized
# go=go1.26.4
# cpu=12th Gen Intel(R) Core(TM) i9-12900K
# warmups=1
# samples=3
scenario,size,aux,samples,min_ns,p50_ns,p90_ns,max_ns,median_units_per_second,alloc_calls,alloc_bytes,max_rss_peak_kib,max_fds_after,file_logical_bytes,range_records,feeds,accepted_median_ns,ci_limit_ns,ratio,status
direct-replace,1000000,0,3,822844442,859035527,957777699,957777699,1164096.209,8423,5060216,29336,6,16871424,1000000,0,1091391560,2282783120,0.787,within-limit
last-seen-refresh,1000000,0,3,1116669843,1167486922,1236225916,1236225916,856540.644,17405,6904488,50092,6,37199872,1000000,0,1470427359,3040854718,0.794,within-limit
feed-first-ascending,1000000,0,3,56996666,69285969,70159133,70159133,14432936.631,227,40352,24936,6,14217216,1000000,1,132048255,364096510,0.525,within-limit
feed-first-random,1000000,0,3,779040855,798914826,815581738,815581738,1251697.888,8515,5077056,31976,6,16896000,1000000,1,1129660811,2359321622,0.707,within-limit
live-direct-lookup,100000,0,3,190900183,196289794,196517494,196517494,5094508.378,0,0,16148,9,2134016,100000,0,257187227,614374454,0.763,within-limit
live-direct-random-lookup,100000,0,3,293027327,294496013,305510461,305510461,3395631.709,0,0,16160,9,2134016,100000,0,306236016,712472032,0.962,within-limit
live-direct-scan,100000,0,3,22588137,23352852,27066157,27066157,42821322.209,30,7360,16064,9,2134016,100000,0,23334764,146669528,1.001,within-limit
live-membership-lookup,100000,421,3,314457278,315018042,318549563,318549563,3174421.356,0,0,17220,9,3035136,100000,421,377738741,855477482,0.834,within-limit
live-membership-random-lookup,100000,421,3,414481028,416005908,416857811,416857811,2403812.015,0,0,17168,9,3035136,100000,421,435602803,971205606,0.955,within-limit
structured-build-random,1000000,421,3,2658610768,2670768721,2780046109,2780046109,374424.035,145118,20067368,55892,6,30765056,1000000,421,2681744211,5463488422,0.996,within-limit
live-structured-scalar-random-lookup,100000,421,3,4806297526,4833458582,4857335062,4857335062,2068911.904,1,16,31812,9,13987840,100000,421,5173586503,10447173006,0.934,within-limit
live-structured-threat-random-lookup,100000,421,3,5428589419,5439328714,5527513713,5527513713,1838462.157,1,16,33564,9,13987840,100000,421,5821730545,11743461090,0.934,within-limit
live-structured-scalar-scan,100000,421,3,154401439,155415954,161308466,161308466,6434345.859,41,7776,33728,9,13987840,100000,421,157515268,415030536,0.987,within-limit
live-feed-scan,100000,421,3,25610192,25850825,26866161,26866161,38683484.956,40,7840,17148,9,3035136,100000,421,26891413,153782826,0.961,within-limit
membership-cardinalities,1000000,64,3,47733581,48728898,49260001,49260001,20521703.569,86,328752,42664,9,28487680,1000000,64,47834203,195668406,1.019,within-limit
live-validation,1000000,0,3,24554582,24792196,26622834,26622834,165898.979,73,25880,31496,6,16871424,1000000,0,26309751,152619502,0.942,within-limit
live-membership-validation,1000000,421,3,29802520,37242401,37626756,37626756,192227.134,74,25896,43420,6,29425664,1000000,421,30767706,161535412,1.210,within-limit
update-ipsets-workflow,1000000,7,3,3512918045,3516106141,3526975099,3526975099,3867915.090,27414,9795784,118740,6,15618048,1100000,9,5057617050,10615234100,0.695,within-limit
