scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,47149476,21209143.448,20,474,4816,32896,45804,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,45502106,21977004.757,20,474,4868,32988,46152,6,6,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,49242134,20307812.005,20,474,4872,32992,46348,6,6,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,297662084,3359514.207,22,262550,4004,4460,58380,4,4,56410112,56414208,1999999,0,0
nested-overwrite,1000000,0,1000000,0,289129047,3458663.218,22,262550,3960,4700,59584,4,4,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,290246407,3445348.421,22,262550,3972,4712,59328,4,4,56410112,56410112,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,1103392586,12325622.061,251,2708399,5336,5460,108608,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1104092237,12317811.451,251,2708399,5336,5440,108840,4,4,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,1109439624,12258440.843,251,2708399,5332,5436,107912,4,4,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,235396537,4248150.855,0,0,8860,25344,25344,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,241736486,4136735.900,0,0,8764,25312,25312,6,6,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,270855805,3692001.358,0,0,8764,25312,25312,6,6,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,199502316,5012473.138,0,0,8852,22768,34936,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,211914848,4718876.518,0,0,8840,22756,35076,5,5,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,213426409,4685455.772,0,0,8840,22692,34888,5,5,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,13428307,306293.265,28,1540,4848,4984,20936,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10421995,394646.131,28,1540,4812,4948,21164,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,12313727,334017.475,28,1540,4788,4980,21144,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,11560997,355765.165,28,1540,4780,4916,20972,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10224211,402280.430,28,1540,4848,4984,21148,4,4,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,10250820,401236.194,28,1540,4848,5040,20820,4,4,16871424,16871424,1000000,0,0
