# benchmark=update_ipsets
# fixture=iprange-v4-update-ipsets-v1
# baseline=go-v4-local-20260827
# os=linux
# arch=amd64
# profile=optimized
# go=go1.26.4
# cpu=12th Gen Intel(R) Core(TM) i9-12900K
# warmups=1
# samples=3
scenario,size,aux,samples,min_ns,p50_ns,p90_ns,max_ns,median_units_per_second,alloc_calls,alloc_bytes,max_rss_peak_kib,max_fds_after,file_logical_bytes,range_records,feeds,accepted_median_ns,ci_limit_ns,ratio,status
direct-replace,1000000,0,3,1084045542,1090902637,1104686979,1104686979,916672.090,8429,5060472,28240,6,16871424,1000000,0,1091391560,2282783120,1.000,within-limit
last-seen-refresh,1000000,0,3,1446846819,1475516352,1484750438,1484750438,677728.850,17405,6905976,49336,6,37199872,1000000,0,1470427359,3040854718,1.003,within-limit
feed-first-ascending,1000000,0,3,129177152,131400353,136890406,136890406,7610329.631,227,40048,24620,6,14217216,1000000,1,132048255,364096510,0.995,within-limit
feed-first-random,1000000,0,3,1119878974,1129424434,1139772280,1139772280,885406.735,8514,5071576,31428,6,16896000,1000000,1,1129660811,2359321622,1.000,within-limit
live-direct-lookup,100000,0,3,255276706,256390348,258290666,258290666,3900302.830,0,0,13632,9,2134016,100000,0,257187227,614374454,0.997,within-limit
live-direct-random-lookup,100000,0,3,304606572,308874234,316164410,316164410,3237563.675,0,0,15844,9,2134016,100000,0,306236016,712472032,1.009,within-limit
live-direct-scan,100000,0,3,23384056,23937897,27546073,27546073,41774764.091,30,7360,13708,9,2134016,100000,0,23334764,146669528,1.026,within-limit
live-membership-lookup,100000,421,3,377720423,378268394,383925237,383925237,2643625.573,1,16,15296,9,3035136,100000,421,377738741,855477482,1.001,within-limit
live-membership-random-lookup,100000,421,3,434066241,435296937,447942197,447942197,2297282.418,1,16,18192,9,3035136,100000,421,435602803,971205606,0.999,within-limit
structured-build-random,1000000,421,3,2691985973,2700232976,2707197262,2707197262,370338.415,145122,20067352,55568,6,30765056,1000000,421,2681744211,5463488422,1.007,within-limit
live-structured-scalar-random-lookup,100000,421,3,5195360660,5199711432,5269875662,5269875662,1923183.648,1,16,33200,9,13987840,100000,421,5173586503,10447173006,1.005,within-limit
live-structured-threat-random-lookup,100000,421,3,5840884348,5855387284,5911805894,5911805894,1707828.964,1,16,30288,9,13987840,100000,421,5821730545,11743461090,1.006,within-limit
live-structured-scalar-scan,100000,421,3,160145677,160642142,164100202,164100202,6225016.596,41,7776,30308,9,13987840,100000,421,157515268,415030536,1.020,within-limit
live-feed-scan,100000,421,3,25499731,28220299,28224866,28224866,35435485.641,41,7856,18028,9,3035136,100000,421,26891413,153782826,1.049,within-limit
membership-cardinalities,1000000,64,3,47118569,48407020,49712182,49712182,20658160.738,76,319704,40836,9,28487680,1000000,64,47834203,195668406,1.012,within-limit
live-validation,1000000,0,3,24226598,24553141,30758462,30758462,167514.209,73,25880,29844,6,16871424,1000000,0,26309751,152619502,0.933,within-limit
live-membership-validation,1000000,421,3,30533537,30792423,31752345,31752345,232492.260,70,25832,41948,6,29425664,1000000,421,30767706,161535412,1.001,within-limit
update-ipsets-workflow,1000000,7,3,5027410643,5034889959,5046049450,5046049450,2701151.388,21231005,737052104,120264,6,15618048,1100000,9,5057617050,10615234100,0.996,within-limit
